,着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,2,4,5,ナリノメジャー,牝5,55.0,田辺裕信,1:10.9,1.1/4,**,1-1,37.1,8.6,5.0,484(-10),,,,[東]上原博之,成塚清志,300.0
2,3,1,1,メイクアンシー,牡3,55.0,横山和生,1:11.5,3.1/2,**,13-12,35.8,22.5,7.0,450(-2),,,,[東]高市圭二,チームユッキレーシング,190.0
3,4,6,9,タマモキャペリン,牝3,52.0,武藤雅,1:11.5,クビ,**,6-5,37.2,11.8,6.0,454(+4),,,,[東]水野貴広,タマモ,110.0
4,5,4,4,イワネコゴシキ,牡3,55.0,石川裕紀,1:11.7,1.1/4,**,11-10,36.6,84.6,10.0,496(+5),,,,[東]小笠倫弘,丸山担,75.0
5,6,2,2,トップギア,牡4,54.0,菅原明良,1:11.9,1.1/4,**,8-8,37.3,358.1,13.0,456(+2),,,,[東]小桧山悟,アドバンス・サッポロ,
6,7,8,12,カッチョエペペ,牝3,53.0,木幡巧也,1:11.9,アタマ,**,5-5,37.8,6.0,3.0,446(-6),,,,[東]牧光二,平田修,
7,8,7,11,サイモンゼーレ,牡6,54.0,藤田菜七,1:12.0,クビ,**,8-8,37.4,5.9,2.0,472(0),,,,[西]梅田智之,澤田昭紀,
8,9,7,10,クイーンズテイスト,牝3,52.0,菊沢一樹,1:12.0,クビ,**,3-2,38.0,7.6,4.0,480(+14),,,,[東]菊沢隆徳,社台レースホース,
9,10,3,3,フジマサクイーン,牝5,52.0,小林凌大,1:12.3,2,**,10-10,37.4,85.7,11.0,464(+2),,,,[東]菊川正達,藤原正一,
10,11,5,7,ベルテックスロード,牡3,55.0,大野拓弥,1:12.4,クビ,**,12-12,37.0,44.7,9.0,474(+6),,,,[東]的場均,山口敦広,
11,12,6,8,ワイメアバレイ,牝3,53.0,伊藤工真,1:12.4,クビ,**,3-4,38.4,32.4,8.0,476(+6),,,,[東]金成貴史,笹川大晃牧場,
12,13,5,6,クラウンカーネル,セ5,54.0,山田敬士,1:12.8,2.1/2,**,2-2,38.9,132.0,12.0,428(-12),,,,[東]星野忍,矢野雅子,
0,1,5,10,フォルコメン,牡3,55.0,Ｍ．デム,1:32.6,,**,3-4-4,34.3,2.6,2.0,512(+6),,,,[東]堀宣行,社台レースホース,"1,089.9"
1,2,2,3,モンブランテソーロ,牡3,55.0,津村明秀,1:32.9,2,**,6-4-4,34.6,6.7,3.0,468(-10),,,,[東]田中博康,了徳寺健二ホールディングス,431.4
2,3,1,2,ダンシングチコ,牝4,55.0,丸田恭介,1:32.9,アタマ,**,9-8-7,34.4,27.3,6.0,476(+6),,,,[東]大竹正博,石瀬浩三,265.7
3,4,1,1,グランソヴァール,牡3,55.0,戸崎圭太,1:33.1,1,**,1-1-1,35.2,11.5,4.0,512(+14),,,,[東]尾関知人,広尾レース,160.0
4,5,8,16,パルマリア,牡4,57.0,ルメール,1:33.2,3/4,**,12-11-11,34.3,2.2,1.0,536(+6),,,,[東]武井亮,吉田和美,105.0
5,6,3,5,アーザムブルー,牡5,57.0,三浦皇成,1:33.3,1/2,**,14-13-14,34.2,22.8,5.0,468(-2),,,,[東]戸田博文,シルクレーシング,
6,7,4,8,サンディレクション,牡3,55.0,大野拓弥,1:33.5,1.1/4,**,2-2-2,35.5,64.4,10.0,458(+4),,,,[東]高木登,ノルマンディーサラブレッドレーシング,
7,8,6,11,スピリットソウル,牡5,57.0,松岡正海,1:33.5,クビ,**,8-8-7,35.0,45.1,8.0,510(+6),,,,[東]手塚貴久,落合幸弘,
8,9,4,7,ガトン,セ3,55.0,石川裕紀,1:33.6,1/2,**,15-16-15,34.3,92.8,11.0,496(-2),,,,[東]相沢郁,畑佐博,
9,10,2,4,ダイイチターミナル,牡5,57.0,勝浦正樹,1:33.7,1/2,**,12-13-11,34.7,36.9,7.0,450(+8),,,,[東]高市圭二,ミルファーム,
10,11,5,9,スズカゼ,牝5,55.0,武士沢友,1:33.7,ハナ,**,3-4-4,35.5,174.8,12.0,492(-6),,,,[東]深山雅史,ヒダカ・ブリーダーズ・ユニオン,
11,12,8,15,マイネルプリンチペ,牡4,57.0,柴田大知,1:33.8,3/4,**,3-2-3,35.7,50.9,9.0,452(+4),,,,[東]畠山吉宏,サラブレッドクラブ・ラフィアン,
12,13,6,12,プレイズラン,牝4,55.0,木幡巧也,1:33.9,1/2,**,11-11-11,35.1,422.4,15.0,458(+2),,,,[東]牧光二,岡村善行,
13,14,7,14,レローヴ,牝5,55.0,野中悠太,1:34.3,2.1/2,**,9-7-7,35.9,271.0,13.0,510(-2),,,,[東]黒岩陽一,今中俊平,
14,15,3,6,クリノカリビアン,牝3,53.0,田中勝春,1:34.3,アタマ,**,6-8-7,35.8,364.2,14.0,418(-2),,,,[東]高橋義博,栗本博晴,
15,16,7,13,クラウンジャミール,牡4,57.0,武藤雅,1:34.4,1/2,**,15-15-16,35.2,480.7,16.0,464(+6),,,,[東]天間昭一,矢野まり子,
0,1,6,11,クイックレス,牝2,54.0,三浦皇成,1:09.4,,**,2-2,34.8,2.9,1.0,450(-4),,,,[東]中舘英二,中村祐子,500.0
1,2,4,7,ルドラクシャ,牝2,54.0,杉原誠人,1:09.6,1.1/4,**,1-1,35.2,10.3,4.0,440(+4),,,,[東]松山将樹,ミルファーム,200.0
2,3,6,12,コスモビートイット,牡2,54.0,柴田大知,1:09.8,1.1/4,**,3-4,35.1,4.9,3.0,446(-2),,,,[東]清水英克,ビッグレッドファーム,130.0
3,4,2,4,クインズラプソディ,牝2,51.0,藤田菜七,1:09.9,3/4,**,7-7,34.7,17.7,6.0,440(-2),,,,[東]加藤和宏,岡田牧雄,75.0
4,5,4,8,ネオストーリー,牡2,54.0,丸山元気,1:10.0,3/4,**,10-9,34.6,3.8,2.0,450(+2),,,,[東]林徹,藤澤眞佐子,50.0
5,6,1,2,ハーディン,牡2,52.0,木幡育也,1:10.1,1/2,**,12-10,34.5,15.4,5.0,426(+6),,,,[東]佐藤吉勝,松谷翔太,
6,7,3,5,エリーストーム,牝2,53.0,野中悠太,1:10.1,アタマ,**,5-5,35.1,319.7,14.0,432(+2),,,,[東]本間忍,谷川正純,
7,8,1,1,ファールカルテ,牝2,54.0,丹内祐次,1:10.2,1/2,**,3-2,35.5,24.8,7.0,424(0),,,,[東]栗田徹,サラブレッドクラブ・ラフィアン,
8,9,3,6,ヨンウォニ,牝2,54.0,松岡正海,1:10.4,1,**,12-10,34.7,39.3,9.0,422(+4),,,,[東]田中清隆,ミルファーム,
9,10,8,15,バーンパッション,牡2,54.0,石橋脩,1:10.4,アタマ,**,5-5,35.5,40.1,10.0,456(-4),,,,[東]中川公成,岡田牧雄,
10,11,2,3,チンクエテッレ,牝2,54.0,丸田恭介,1:10.4,クビ,**,15-13,34.6,95.6,13.0,396(-4),,,,[東]佐藤吉勝,片山博志,
11,12,5,9,ファクタークニアキ,牡2,54.0,吉田豊,1:10.6,1.1/2,**,9-12,35.3,43.7,11.0,454(-2),,,,[東]土田稔,高橋宏弥,
12,13,5,10,ヒナノコバン,牡2,54.0,柴田善臣,1:10.7,1/2,**,7-7,35.6,36.9,8.0,448(+2),,,,[東]本間忍,日向英二,
13,14,7,14,サンダーボマー,牡2,54.0,岩田康誠,1:11.3,3.1/2,**,16-15,34.9,93.0,12.0,416(-2),,,,[東]土田稔,岡浩二,
14,15,8,16,ビクトリアドリーム,牝2,53.0,菊沢一樹,1:11.6,2,**,12-15,35.9,481.4,16.0,434(+10),,,,[東]石栗龍彦,坂田行夫,
15,16,7,13,セキセキ,牡2,54.0,嘉藤貴行,1:11.8,1.1/4,**,11-14,36.3,358.7,15.0,444(-4),,,,[東]田中清隆,ミルファーム,
0,1,8,11,マイネルツァイト,牡5,57.0,柴田大知,1:54.2,,**,2-2-2-1,37.1,6.3,2.0,506(0),,,,[東]大和田成,サラブレッドクラブ・ラフィアン,750.0
1,2,7,9,マイネルストラトス,牡5,57.0,岩田康誠,1:54.7,3,**,3-3-2-2,37.5,6.6,3.0,498(0),,,,[東]土田稔,杉浦和也,300.0
2,3,5,5,ネクストムーブ,牡6,57.0,シュタル,1:54.7,クビ,**,9-8-4-4,37.2,1.6,1.0,506(0),,,,[西]清水久詞,林正道,190.0
3,4,6,6,ゴールドパッキャオ,牡4,57.0,池添謙一,1:54.9,1.1/2,**,4-5-4-4,37.5,8.1,4.0,470(+4),,,,[東]奥村武,増田和啓,110.0
4,5,7,8,ランニングウインド,牡5,57.0,三浦皇成,1:55.4,3,**,9-10-9-9,37.4,9.4,5.0,484(-2),,,,[東]中川公成,島川隆哉,75.0
5,6,2,2,シールート,セ4,57.0,戸崎圭太,1:55.6,1.1/2,**,11-11-7-7,37.8,14.9,6.0,484(-4),,,,[東]古賀慎明,ゴドルフィン,
6,7,3,3,ヴィーグリーズ,牡5,55.0,野中悠太,1:56.0,2,**,6-6-7-8,38.3,183.3,10.0,468(-2),,,,[東]清水英克,服部牧場,
7,8,6,7,エグジットラック,牡5,57.0,江田照男,1:56.3,2,**,6-8-11-10,38.0,31.4,7.0,508(0),,,,[東]田村康仁,戸賀智子,
8,9,4,4,グリトニル,牡5,57.0,嶋田純次,1:56.8,3,**,4-4-4-6,39.4,330.2,11.0,444(+4),,,,[東]星野忍,栗本博晴,
9,10,1,1,ユアザスター,牡6,57.0,黛弘人,1:57.0,1.1/2,**,6-6-10-11,38.9,110.7,8.0,500(-6),,,,[東]伊藤圭三,西村專次,
10,11,8,10,クリノハプスブルク,牡5,55.0,菊沢一樹,1:57.5,3,**,1-1-1-3,40.4,146.9,9.0,454(+9),,,,[東]天間昭一,栗本博晴,
0,1,2,2,グロンフォール,牡4,57.0,内田博幸,1:54.6,,**,7-7-1-1,38.1,2.8,2.0,572(-4),,,,[東]新開幸一,シルクレーシング,750.0
1,2,5,5,タイキダイヤモンド,牡5,54.0,菅原明良,1:54.6,アタマ,**,2-2-3-3,37.8,2.2,1.0,474(-2),,,,[東]高木登,大樹ファーム,300.0
2,3,8,11,スズノアリュール,牡4,57.0,武士沢友,1:55.2,3.1/2,**,9-9-8-5,37.8,11.3,5.0,478(-4),,,,[東]林徹,新木鈴子,190.0
3,4,4,4,レアバード,牡4,57.0,田中勝春,1:56.0,5,**,3-3-4-5,38.9,15.4,6.0,534(-2),,,,[東]高市圭二,田中春美,110.0
4,5,3,3,ゴールドパッション,牡4,57.0,松岡正海,1:56.4,2.1/2,**,6-6-4-3,39.3,6.9,3.0,520(+2),,,,[東]青木孝文,居城寿与,75.0
5,6,8,10,ブレイブウォリアー,牡5,57.0,原田和真,1:56.4,ハナ,**,11-11-11-9,38.5,147.7,10.0,484(-2),,,,[東]小桧山悟,谷口祐人,
6,7,6,6,フィールブリーズ,牡6,57.0,柴山雄一,1:56.5,1/2,**,5-5-4-5,39.4,40.7,7.0,530(-12),,,,[西]高柳大輔,水谷昌晃,
7,8,6,7,キョウワスピネル,牡4,56.0,武藤雅,1:56.9,2.1/2,**,3-3-4-5,39.9,76.0,9.0,504(-8),,,,[東]小野次郎,協和牧場,
8,9,7,9,プロトスター,牡4,57.0,吉田豊,1:57.1,3/4,**,1-1-2-2,40.5,10.6,4.0,484(-4),,,,[東]戸田博文,社台レースホース,
9,10,1,1,セブンレジェンド,牡5,55.0,野中悠太,1:57.4,1.3/4,**,7-7-8-9,39.9,47.7,8.0,516(0),,,,[東]本間忍,橋川欣司,
10,11,7,8,ヤマタケパンチ,牡4,57.0,岩部純二,1:57.7,2,**,9-9-10-11,40.0,188.7,11.0,494(-10),,,,[東]萱野浩二,山中和子,
0,1,3,3,アイリスフィール,牝3,54.0,石川裕紀,1:48.3,,**,3-3-3-4,34.2,2.6,1.0,432(-6),,,,[東]相沢郁,杵臼牧場,"1,024.5"
1,2,4,4,エピローグ,牝3,54.0,柴田大知,1:48.4,3/4,**,1-1-1-1,34.5,14.0,7.0,452(0),,,,[西]小崎憲,藤田好紀,407.0
2,3,7,7,ミモザイエロー,牝3,54.0,吉田豊,1:48.5,1/2,**,4-3-3-3,34.4,5.2,3.0,450(0),,,,[東]戸田博文,青芝商事,253.5
3,4,5,5,グレイスアン,牝3,54.0,武藤雅,1:49.0,3,**,2-2-2-2,35.0,4.3,2.0,474(-12),,,,[東]斎藤誠,ＴＵＲＦレーシング,150.0
4,5,8,9,ランペドゥーザ,牝3,54.0,江田照男,1:49.1,3/4,**,8-8-5-7,34.8,8.4,4.0,472(+2),,,,[東]高市圭二,ミルファーム,100.0
5,6,1,1,クィーンユニバンス,牝3,54.0,田辺裕信,1:49.2,1/2,**,6-5-5-5,34.8,9.5,5.0,500(0),,,,[東]田村康仁,亀井哲也,
6,7,6,6,シトラスノキセキ,牝3,54.0,西村太一,1:49.3,クビ,**,6-7-9-8,34.6,28.2,8.0,430(-6),,,,[東]加藤征弘,加藤正二郎,
7,8,7,8,イルジオーネ,牝3,54.0,内田博幸,1:49.4,3/4,**,10-10-8-8,34.9,35.0,9.0,486(-6),,,,[東]武藤善則,キャロットファーム,
8,9,8,10,ゲンパチカナ,牝3,54.0,野中悠太,1:49.4,アタマ,**,5-5-5-5,35.1,123.4,10.0,446(+6),,,,[東]田村康仁,平野武志,
9,10,2,2,シーオブザムーン,牝3,54.0,柴山雄一,1:50.1,4,**,8-8-9-10,35.4,12.0,6.0,458(+4),,,,[東]金成貴史,サンデーレーシング,
0,1,7,13,ポップシンガー,牝5,55.0,勝浦正樹,1:11.9,,**,2-2,36.9,7.5,5.0,466(0),,,,[東]鈴木伸尋,村山卓也,750.0
1,2,2,3,コウギョウブライト,牡4,55.0,野中悠太,1:12.1,1.1/4,**,2-4,37.1,5.4,2.0,464(0),,,,[東]伊藤大士,小林秀樹,300.0
2,3,5,10,ランパク,牡4,54.0,菅原明良,1:12.1,クビ,**,10-9,36.2,5.1,1.0,494(-2),,,,[東]高木登,一村哲也,190.0
3,4,4,8,タイキメサイア,牡4,57.0,田辺裕信,1:12.3,1.1/4,**,2-2,37.4,6.3,4.0,518(+4),,,,[東]高橋祥泰,大樹ファーム,110.0
4,5,6,12,デュアルマンデート,牡4,57.0,岩田康誠,1:12.4,クビ,**,14-14,35.8,28.9,10.0,512(0),,,,[東]萩原清,池谷誠一,75.0
5,6,1,1,バットオールソー,牡4,57.0,石橋脩,1:12.4,ハナ,**,15-14,35.6,21.1,9.0,460(0),,,,[東]大和田成,久保田定,
6,7,7,14,ゴムマリ,牝4,55.0,戸崎圭太,1:12.5,3/4,**,12-12,36.3,16.2,7.0,476(+4),,,,[東]浅野洋一,田頭勇貴,
7,8,4,7,アドマイヤムテキ,牡6,57.0,横山典弘,1:12.6,クビ,**,7-7,37.1,40.7,12.0,492(-2),,,,[東]上原博之,近藤利一,
8,9,3,5,サンジレット,牡5,57.0,小島太一,1:12.6,クビ,**,5-4,37.4,5.8,3.0,510(+2),,,,[東]高橋文雅,加藤ステーブル,
9,10,2,4,アメリカンツイスト,牡4,57.0,松岡正海,1:13.1,3,**,12-12,37.0,7.8,6.0,486(+2),,,,[東]中舘英二,グリーンファーム,
10,11,5,9,ファインキャプテン,セ6,56.0,木幡巧也,1:13.2,クビ,**,7-7,37.7,257.0,16.0,456(-9),,,,[東]黒岩陽一,湯浅健司,
11,12,3,6,ミサコ,牝4,55.0,吉田豊,1:13.2,クビ,**,1-1,38.4,51.5,13.0,482(+8),,,,[東]竹内正洋,由井健太郎,
12,13,6,11,ランボシ,セ5,57.0,藤岡佑介,1:13.4,1.1/4,**,10-9,37.5,38.2,11.0,494(+4),,,,[東]中川公成,古川智洋,
13,14,8,15,カシマフウリン,牝4,55.0,嘉藤貴行,1:13.4,ハナ,**,5-4,38.1,135.2,15.0,498(+20),,,,[東]加藤士津,松浦一久,
14,15,1,2,レンベルガー,牡6,57.0,柴田大知,1:13.6,1.1/2,**,16-16,36.5,123.0,14.0,440(0),,,,[東]粕谷昌央,岡田壮史,
15,16,8,16,ヴィグラスファイア,牡4,57.0,石川裕紀,1:15.0,8,**,7-9,39.4,18.9,8.0,486(+2),,,,[東]萩原清,シルクレーシング,
0,1,1,2,イレイション,牡7,56.0,田辺裕信,1:33.7,,**,2-1-1,34.1,5.2,1.0,500(+6),,,,[東]池上昌和,ゴドルフィン,"1,853.6"
1,2,1,1,トロワゼトワル,牝4,53.0,横山典弘,1:33.7,クビ,**,4-3-4,33.9,12.9,7.0,462(-6),,,,[西]安田隆行,社台レースホース,739.6
2,3,3,5,キロハナ,牡7,56.0,戸崎圭太,1:33.9,1.1/4,**,12-12-11,33.5,7.0,5.0,484(+12),,,,[西]池江泰寿,金子真人ホールディングス,464.8
3,4,7,13,ルタンデュボヌール,牡5,55.0,岩田康誠,1:33.9,クビ,**,2-3-2,34.1,15.5,9.0,486(0),,,,[西]友道康夫,サンデーレーシング,270.0
4,5,5,10,ロライマ,セ6,56.0,福永祐一,1:34.0,クビ,**,10-10-7,33.7,17.6,10.0,460(0),,,,[西]松田国英,社台レースホース,182.0
5,6,7,14,レジーナドーロ,牝4,53.0,川田将雅,1:34.0,ハナ,**,12-15-11,33.5,5.7,2.0,450(0),,,,[東]堀宣行,Ｇ１レーシング,
6,7,6,11,トーセンブレス,牝4,54.0,Ｍ．デム,1:34.0,クビ,**,14-12-11,33.6,6.6,3.0,470(-2),,,,[東]加藤征弘,島川隆哉,
7,8,6,12,チャンピオンルパン,牡8,55.0,三浦皇成,1:34.1,1/2,**,7-7-7,34.0,42.4,12.0,492(-6),,,,[東]勢司和浩,坪野谷和平,
8,9,5,9,インビジブルレイズ,牡5,55.0,石川裕紀,1:34.1,ハナ,**,7-7-7,34.0,82.7,14.0,458(-12),,,,[西]吉村圭司,シルクレーシング,
9,10,4,7,アンノートル,牡5,55.0,松岡正海,1:34.1,ハナ,**,10-10-11,33.9,7.0,4.0,502(-4),,,,[東]田中博康,ビッグレッドファーム,
10,11,2,3,テンクウ,牡4,55.0,池添謙一,1:34.2,3/4,**,6-3-5,34.3,61.4,13.0,464(+10),,,,[東]奥村武,井山登,
11,12,3,6,ティソーナ,セ6,55.0,ルメール,1:34.4,1,**,1-2-2,34.8,11.7,6.0,498(-4),,,,[東]藤沢和雄,キャロットファーム,
12,13,8,15,クリノラホール,牝6,53.0,松山弘平,1:34.4,クビ,**,4-6-5,34.4,105.1,15.0,462(-8),,,,[西]谷潔,栗本博晴,
13,14,4,8,オメガラヴィサン,牡4,55.0,武豊,1:34.6,1.1/4,**,14-12-11,34.2,13.7,8.0,488(0),,,,[西]安田翔伍,原禮子,
14,15,8,16,ウイングチップ,セ7,54.0,シュタル,1:34.9,2,**,7-7-7,34.8,153.0,16.0,496(-4),,,,[東]宗像義忠,社台レースホース,
15,16,2,4,オハナ,牝4,53.0,石橋脩,1:34.9,ハナ,**,14-16-16,34.1,37.7,11.0,428(0),,,,[東]堀宣行,金子真人ホールディングス,
0,1,1,1,マイネルヴンシュ,牡5,57.5,柴田大知,2:34.9,,**,8-7-5-4,37.0,1.7,1.0,462(-10),,,,[東]水野貴広,サラブレッドクラブ・ラフィアン,"1,522.4"
1,2,8,10,シャリオヴァルト,セ6,54.0,三浦皇成,2:35.2,2,**,7-7-9-4,37.0,13.8,5.0,454(+6),,,,[東]尾関知人,前田幸治,606.4
2,3,7,8,ミルトプレスト,牡5,56.0,柴田善臣,2:35.2,クビ,**,3-3-2-2,37.7,5.8,3.0,502(+6),,,,[東]佐藤吉勝,永山勝敏,383.2
3,4,2,2,マスラオ,セ5,54.0,武藤雅,2:35.5,1.3/4,**,3-3-5-6,37.6,19.0,7.0,434(-10),,,,[東]金成貴史,Ｇリビエール・レーシング,230.0
4,5,5,5,ブラックオニキス,牝5,54.0,大野拓弥,2:35.5,ハナ,**,5-5-5-6,37.5,14.2,6.0,442(+8),,,,[東]加藤和宏,岡田牧雄,150.0
5,6,6,6,ハナザカリ,牝4,52.0,江田照男,2:35.5,ハナ,**,1-1-1-1,38.0,10.1,4.0,490(+8),,,,[東]粕谷昌央,岡田壮史,
6,7,4,4,コスモアルヘナ,牡7,52.0,丹内祐次,2:35.7,3/4,**,6-6-5-9,37.8,120.1,8.0,482(+2),,,,[東]武市康男,ビッグレッドファーム,
7,8,8,9,ナムラマル,牡5,55.0,内田博幸,2:35.8,3/4,**,8-9-2-3,38.3,5.2,2.0,530(+14),,,,[西]清水久詞,奈村信重,
8,9,3,3,ビオラフォーエバー,セ8,50.0,川又賢治,2:37.1,8,**,2-2-4-6,39.4,155.2,9.0,474(+14),,,,[東]加藤士津,熊澤浩樹,
9,取,7,7,バリングラ,セ5,56.0,石橋脩,,,**,,,---,,計不,,,,[東]堀宣行,キャロットファーム,
0,1,1,1,ブラッドストーン,牡3,56.0,武豊,2:14.2,,**,1-1-1-1,35.5,2.1,1.0,466(0),,,,[東]小島茂之,加藤徹,500.0
1,2,7,9,レッドクーゲル,牡3,56.0,戸崎圭太,2:14.5,1.3/4,**,7-7-4-4,35.2,3.4,2.0,424(0),,,,[東]尾関知人,東京ホースレーシング,200.0
2,3,8,11,ショウチクバイ,牡3,56.0,菅原隆一,2:15.2,4,**,3-2-2-2,36.1,98.4,7.0,486(0),,,,[東]宗像義忠,ミルファーム,130.0
3,4,7,8,ココリガストン,牡3,54.0,野中悠太,2:15.2,ハナ,**,5-4-2-2,36.1,19.6,5.0,510(0),,,,[東]古賀慎明,美崎光二郎,75.0
4,5,5,5,イントゥアドリーム,牡3,53.0,大塚海渡,2:15.5,1.3/4,**,5-4-6-5,36.0,22.7,6.0,436(-8),,,,[東]和田雄二,薪浦州平,50.0
5,6,6,7,ヘヴンリータイム,セ3,55.0,木幡巧也,2:15.5,ハナ,**,11-11-8-8,35.8,7.4,4.0,490(-4),,,,[東]和田正一,伊藤正徳,
6,7,6,6,ベレーザ,牝3,54.0,Ｍ．デム,2:15.9,2.1/2,**,9-9-6-5,36.4,4.0,3.0,466(+2),,,,[東]奥村武,カナヤマホールディングス,
7,8,4,4,スタープレゼンス,牡3,56.0,柴田大知,2:16.7,5,**,10-10-8-9,37.0,100.7,8.0,428(-6),,,,[東]黒岩陽一,ヤナガワ牧場,
8,9,3,3,アレグレユミティー,牝3,51.0,菅原明良,2:16.8,3/4,**,3-4-8-9,37.1,277.0,10.0,450(+6),,,,[東]本間忍,斉藤等,
9,10,8,10,シングンジゼル,牝3,54.0,武士沢友,2:17.1,2,**,8-8-11-11,37.3,271.7,9.0,414(-2),,,,[東]高市圭二,伊坂重憲,
10,11,2,2,リネンエイコウ,牝3,52.0,菊沢一樹,2:17.2,クビ,**,2-2-4-7,38.0,302.7,11.0,434(+4),,,,[東]加藤和宏,戸山光男,
0,1,3,6,アポロノシンザン,牡7,57.0,武豊,1:11.0,,**,1-1,36.1,13.9,6.0,486(+6),,,,[東]鈴木伸尋,アポロサラブレッドクラブ,"2,336.4"
1,2,8,16,ドリームドルチェ,牡7,56.0,田辺裕信,1:11.1,3/4,**,5-5,35.6,11.8,4.0,514(+4),,,,[東]根本康広,ライオンレースホース,930.4
2,3,4,8,シュウジ,牡6,59.0,三浦皇成,1:11.1,アタマ,**,2-2,36.0,4.0,2.0,506(-2),,,,[西]須貝尚介,安原浩司,585.2
3,4,1,2,ジューヌエコール,牝5,54.0,ルメール,1:11.4,1.1/2,**,3-2,36.2,2.5,1.0,494(0),,,,[西]安田隆行,サンデーレーシング,350.0
4,5,6,12,ウインオスカー,牡6,57.0,菱田裕二,1:11.5,3/4,**,3-4,36.3,6.5,3.0,506(0),,,,[西]飯田雄三,ウイン,230.0
5,6,8,15,ハットラブ,牝5,54.0,菊沢一樹,1:11.8,2,**,14-13,35.7,15.4,7.0,492(0),,,,[東]菊沢隆徳,服部邦繁,
6,7,6,11,バイラ,牡4,56.0,松山弘平,1:11.9,クビ,**,14-13,35.8,12.2,5.0,514(+4),,,,[西]川村禎彦,杉澤光雄,
7,8,7,13,トウショウカウント,牡7,56.0,岩部純二,1:12.0,1/2,**,9-8,36.3,218.3,15.0,524(+4),,,,[東]萱野浩二,トウショウ産業,
8,9,2,4,クイーンズテソーロ,牝4,54.0,木幡巧也,1:12.0,クビ,**,5-5,36.6,16.3,8.0,460(+2),,,,[東]畠山吉宏,了徳寺健二ホールディングス,
9,10,1,1,モアニケアラ,牝7,54.0,横山典弘,1:12.0,ハナ,**,9-10,36.3,29.1,9.0,470(+4),,,,[西]松永幹夫,名古屋友豊,
10,11,3,5,ブラックジョー,セ6,56.0,柴田大知,1:12.2,1,**,12-10,36.3,103.4,11.0,460(-4),,,,[西]安達昭夫,山内邦一,
11,12,4,7,タイセイエクレール,牡6,56.0,松岡正海,1:12.2,クビ,**,16-16,35.9,239.8,16.0,522(-4),,,,[西]森田直行,田中成奉,
12,13,5,10,ラブバレット,牡8,58.0,岩田康誠,1:12.2,ハナ,**,9-10,36.5,146.0,13.0,486(-4),,,,[東]加藤和宏,オールラブクラブ,
13,14,5,9,ナンチンノン,牡8,58.0,勝浦正樹,1:12.4,1.1/4,**,5-8,36.9,112.3,12.0,538(-2),,,,[西]中竹和也,加藤誠,
14,15,2,3,トウショウピスト,牡7,57.0,吉田豊,1:12.5,1/2,**,12-13,36.5,190.6,14.0,492(+2),,,,[東]土田稔,トウショウ産業,
15,16,7,14,モズワッショイ,牝6,54.0,シュタル,1:12.9,2.1/2,**,5-7,37.5,86.3,10.0,416(-10),,,,[西]牧浦充徳,キャピタル・システム,
0,1,6,12,サートゥルナーリア,牡3,57.0,ルメール,1:58.1,,**,6-7-7-7,34.1,1.7,1.0,496(-4),,,,[西]角居勝彦,キャロットファーム,"13,301.6"
1,2,4,7,ヴェロックス,牡3,57.0,川田将雅,1:58.1,アタマ,**,5-5-4-4,34.4,9.0,4.0,478(-4),,,,[西]中内田充,金子真人ホールディングス,"5,057.6"
2,3,2,4,ダノンキングリー,牡3,57.0,戸崎圭太,1:58.1,ハナ,**,4-3-4-5,34.5,5.8,3.0,450(-4),,,,[東]萩原清,ダノックス,"3,128.8"
3,4,1,1,アドマイヤマーズ,牡3,57.0,Ｍ．デム,1:58.5,2,**,6-5-4-5,34.9,5.7,2.0,470(-8),,,,[西]友道康夫,近藤利一,"1,700.0"
4,5,3,6,クラージュゲリエ,牡3,57.0,横山典弘,1:58.7,1.1/2,**,6-7-7-8,34.7,109.4,14.0,490(+2),,,,[西]池江泰寿,キャロットファーム,"1,100.0"
5,6,8,16,タガノディアマンテ,牡3,57.0,田辺裕信,1:58.9,1.1/4,**,16-16-15-10,34.4,183.5,15.0,460(-4),,,,[西]鮫島一歩,八木良司,
6,7,6,11,ラストドラフト,牡3,57.0,シュタル,1:59.0,1/2,**,9-10-10-10,34.8,67.8,10.0,452(0),,,,[東]戸田博文,社台レースホース,
7,8,8,17,アドマイヤジャスタ,牡3,57.0,岩田康誠,1:59.0,アタマ,**,16-16-15-14,34.5,72.1,11.0,508(0),,,,[西]須貝尚介,近藤利一,
8,9,7,14,ダディーズマインド,牡3,57.0,宮崎北斗,1:59.2,1.1/2,**,2-2-2-1,35.8,475.0,17.0,478(-4),,,,[東]青木孝文,田島大史,
9,10,8,18,ナイママ,牡3,57.0,柴田大知,1:59.3,1/2,**,14-14-17-14,34.6,489.5,18.0,458(+8),,,,[東]武藤善則,岡田繁幸,
10,11,7,13,ブレイキングドーン,牡3,57.0,福永祐一,1:59.3,アタマ,**,14-14-13-14,34.9,99.0,13.0,498(0),,,,[西]中竹和也,前田幸貴,
11,12,5,10,シュヴァルツリーゼ,牡3,57.0,石橋脩,1:59.7,2,**,13-12-10-10,35.5,34.8,7.0,478(-10),,,,[東]堀宣行,サンデーレーシング,
